author,book_id,chapter_index,chapter_title,n_sentences,n_tokens,n_tokens_alpha,mean_sentence_len_tokens,var_sentence_len,var_sentence_len_tokens,mean_word_len,var_word_len,ttr,mtld,flesch_reading_ease,flesch_kincaid_grade,word_entropy_bits,vader_compound,vader_pos,vader_neu,vader_neg,n_unique_lemmas,pos_univ_.,pos_univ_ADJ,pos_univ_ADP,pos_univ_ADV,pos_univ_CONJ,pos_univ_DET,pos_univ_NOUN,pos_univ_NUM,pos_univ_PRON,pos_univ_PRT,pos_univ_VERB,pos_univ_X,pos_penn_'',pos_penn_CC,pos_penn_CD,pos_penn_DT,pos_penn_EX,pos_penn_FW,pos_penn_IN,pos_penn_JJ,pos_penn_JJR,pos_penn_JJS,pos_penn_MD,pos_penn_NN,pos_penn_NNP,pos_penn_NNPS,pos_penn_NNS,pos_penn_PDT,pos_penn_POS,pos_penn_PRP,pos_penn_PRP$,pos_penn_RB,pos_penn_RBR,pos_penn_RBS,pos_penn_RP,pos_penn_TO,pos_penn_UH,pos_penn_VB,pos_penn_VBD,pos_penn_VBG,pos_penn_VBN,pos_penn_VBP,pos_penn_VBZ,pos_penn_WDT,pos_penn_WP,pos_penn_WP$,pos_penn_WRB,pos_univ_prop_.,pos_univ_prop_ADJ,pos_univ_prop_ADP,pos_univ_prop_ADV,pos_univ_prop_CONJ,pos_univ_prop_DET,pos_univ_prop_NOUN,pos_univ_prop_NUM,pos_univ_prop_PRON,pos_univ_prop_PRT,pos_univ_prop_VERB,pos_univ_prop_X,pos_penn_prop_'',pos_penn_prop_CC,pos_penn_prop_CD,pos_penn_prop_DT,pos_penn_prop_EX,pos_penn_prop_FW,pos_penn_prop_IN,pos_penn_prop_JJ,pos_penn_prop_JJR,pos_penn_prop_JJS,pos_penn_prop_MD,pos_penn_prop_NN,pos_penn_prop_NNP,pos_penn_prop_NNPS,pos_penn_prop_NNS,pos_penn_prop_PDT,pos_penn_prop_POS,pos_penn_prop_PRP,pos_penn_prop_PRP$,pos_penn_prop_RB,pos_penn_prop_RBR,pos_penn_prop_RBS,pos_penn_prop_RP,pos_penn_prop_TO,pos_penn_prop_UH,pos_penn_prop_VB,pos_penn_prop_VBD,pos_penn_prop_VBG,pos_penn_prop_VBN,pos_penn_prop_VBP,pos_penn_prop_VBZ,pos_penn_prop_WDT,pos_penn_prop_WP,pos_penn_prop_WP$,pos_penn_prop_WRB,sample_sentences,pos_penn_$,pos_penn_prop_$
Dickens,PickwickPapers,1,CHAPTER I. THE PICKWICKIANS,79,2153,1736,27.253164556962027,986.2143887197567,986.2143887197567,4.900345622119816,7.550552875937054,0.394,67.6955,45.69851372212693,13.092450298129545,7.992611390404085,0.9998,0.187,0.76,0.053,677,,143,238,71,72,246,489,4,123,50,300,0,,72,4,221,1,0,238,134,3,6,24,258,141,5,85,1,1,70,43,63,3,1,6,43,0,43,98,31,64,19,21,23,8,2,4,,0.082373272,0.13709677419354838,0.040898618,0.041474654377880185,0.14170506912442396,0.2816820276497696,0.002304147,0.070852535,0.028801843,0.1728110599078341,0,,0.041474654377880185,0.002304147,0.12730414746543778,0.000576037,0,0.13709677419354838,0.07718894,0.001728111,0.003456221,0.013824884792626729,0.14861751152073732,0.081221198,0.002880184,0.048963134,0.000576037,0.000576037,0.040322581,0.024769585,0.036290322580645164,0.001728111,0.000576037,0.003456221,0.024769585,0,0.024769585,0.056451612903225805,0.017857142857142856,0.036866359,0.010944700460829493,0.012096774193548387,0.013248847926267281,0.004608295,0.001152074,0.002304147,[],,
Dickens,PickwickPapers,2,"CHAPTER II. THE FIRST DAY’S JOURNEY, AND THE FIRST EVENING’S ADVENTURES;",391,12612,9441,32.25575447570333,675.9806254537845,675.9806254537845,4.607986442114183,6.343624385368561,0.243,81.9932,61.189044120283796,8.424150510097359,8.947956403,1,0.122,0.822,0.056,2135,,726,1092,517,357,1179,2624,47,825,271,1802,1,,357,47,1103,10,0,1092,707,11,8,91,1603,677,6,338,11,0,520,251,460,13,11,57,214,1,275,736,183,252,175,90,55,51,3,33,,0.076898634,0.11566571337782014,0.054761148,0.037813790911979665,0.12488083889418494,0.27793665925219785,0.004978286,0.087384811,0.028704586378561592,0.19086961126999258,0.000105921,,0.037813790911979665,0.004978286,0.11683084419023408,0.00105921,0,0.11566571337782014,0.074886135,0.001165131,0.000847368,0.009638809,0.16979133566359494,0.071708505,0.000635526,0.035801292,0.001165131,0,0.055078911,0.026586166719627158,0.048723652,0.001376973,0.001165131,0.006037496,0.022667090350598454,0.000105921,0.02912827,0.077957843,0.01938354,0.026692088,0.018536172015676304,0.009532888,0.005825654,0.00540197,0.000317763,0.003495392,[],,
Dickens,PickwickPapers,3,CHAPTER III. A NEW ACQUAINTANCE--THE STROLLER’S TALE--A DISAGREEABLE,167,5611,4528,33.59880239520958,562.7791602423895,562.7791602423895,4.387367491166078,5.821236179437875,0.3006,81.5145,64.55024353668787,8.977029517,8.567591087027674,-0.9995,0.083,0.802,0.114,1281,,347,591,248,177,573,1048,12,516,117,899,0,,177,12,518,13,0,591,335,9,3,47,699,189,1,159,5,0,356,136,220,4,5,16,101,0,130,364,102,155,59,42,37,22,2,19,,0.076634276,0.13052120141342757,0.054770318021201414,0.039090106,0.12654593639575973,0.2314487632508834,0.002650177,0.11395759717314488,0.025839223,0.19854240282685512,0,,0.039090106,0.002650177,0.11439929328621908,0.002871025,0,0.13052120141342757,0.073984099,0.001987633,0.000662544,0.010379858657243815,0.15437279151943462,0.041740282685512366,0.000220848,0.035114841,0.00110424,0,0.078621908,0.030035335689045935,0.048586572,0.000883392,0.00110424,0.003533569,0.022305654,0,0.028710247,0.080388693,0.022526501766784453,0.034231448763250884,0.013030035335689047,0.009275618,0.008171378,0.004858657,0.000441696,0.004196113,[],,
Dickens,PickwickPapers,4,CHAPTER IV. A FIELD DAY AND BIVOUAC--MORE NEW FRIENDS--AN INVITATION TO,165,5709,4516,34.6,613.4521212121213,613.4521212121213,4.49955713,6.050265525744113,0.3,87.2999,63.08038804260997,8.815108153420493,8.648070689836834,0.9999,0.132,0.806,0.062,1291,,343,556,305,199,572,1123,25,391,132,869,1,,199,25,515,13,1,556,330,9,4,43,681,226,4,212,7,0,252,118,274,5,5,30,102,0,138,299,101,131,103,54,37,19,2,21,,0.07595217,0.12311780336581045,0.067537644,0.044065545,0.1266607617360496,0.2486713906111603,0.005535872,0.086581045,0.029229406554472984,0.1924269264836138,0.000221435,,0.044065545,0.005535872,0.11403897254207263,0.002878654,0.000221435,0.12311780336581045,0.073073516,0.001992914,0.00088574,0.009521701,0.1507971656333038,0.050044287,0.00088574,0.046944198405668734,0.001550044,0,0.055801594,0.026129318,0.060673162090345435,0.001107174,0.001107174,0.006643047,0.022586359610274578,0,0.030558015943312665,0.066209035,0.022364924712134634,0.029007971656333037,0.022807794508414525,0.011957484499557131,0.008193091,0.004207263,0.00044287,0.004650133,[],,
Dickens,PickwickPapers,5,"CHAPTER V. A SHORT ONE--SHOWING, AMONG OTHER MATTERS, HOW Mr. PICKWICK",139,4661,3560,33.53237410071942,622.6662181046529,622.6662181046529,4.510393258426967,5.878543665572529,0.3281,89.8794,66.72553860127574,7.749555280408032,8.502271854795211,0.999,0.104,0.821,0.075,1136,,254,446,201,146,475,908,34,307,107,680,2,,146,34,437,8,2,446,241,7,6,32,584,196,1,127,4,0,195,97,181,4,3,19,88,0,108,274,93,95,52,26,26,15,0,13,,0.071348315,0.1252808988764045,0.056460674157303374,0.041011236,0.13342696629213482,0.2550561797752809,0.009550562,0.086235955,0.030056179775280897,0.19101123595505617,0.000561798,,0.041011236,0.009550562,0.12275280898876405,0.002247191,0.000561798,0.1252808988764045,0.067696629,0.001966292,0.001685393,0.008988764,0.16404494382022472,0.05505618,0.000280899,0.035674157303370785,0.001123596,0,0.054775280898876406,0.027247191011235954,0.050842697,0.001123596,0.000842697,0.005337079,0.024719101123595506,0,0.030337078651685393,0.076966292,0.026123595505617977,0.026685393258426966,0.014606741573033709,0.007303371,0.007303371,0.004213483,0,0.003651685,[],,
Dickens,PickwickPapers,6,CHAPTER VI. AN OLD-FASHIONED CARD-PARTY--THE CLERGYMAN’S VERSES--THE,211,7135,5861,33.81516587677725,977.2596752094516,977.2596752094516,4.343627367343457,5.417494366519413,0.2694,85.603,64.81235853413568,9.700595284001448,8.620067664230465,0.9997,0.135,0.756,0.109,1499,,510,675,366,313,726,1385,29,620,154,1082,1,,313,29,656,14,1,675,484,19,7,52,994,182,1,208,6,0,378,203,315,12,1,27,127,0,152,493,79,178,70,58,50,37,2,38,,0.087015868,0.11516806005801059,0.062446681,0.053403856,0.12386964681794915,0.2363077973042143,0.004947961,0.10578399590513564,0.026275379628049822,0.18461013478928512,0.000170619,,0.053403856,0.004947961,0.11192629244156288,0.002388671,0.000170619,0.11516806005801059,0.082579765,0.003241768,0.001194335,0.008872206,0.1695956321446852,0.031052721378604334,0.000170619,0.035488824,0.001023716,0,0.064494114,0.034635728,0.053745095,0.002047432,0.000170619,0.004606722,0.021668657225729398,0,0.025934140931581643,0.084115339,0.013478929,0.030370243985667976,0.011943354376386283,0.009895922,0.008530967,0.006312916,0.000341239,0.006483535,[],,
Dickens,PickwickPapers,7,"CHAPTER VII. HOW MR. WINKLE, INSTEAD OF SHOOTING AT THE PIGEON AND",210,6638,5164,31.60952380952381,837.6094331065761,837.6094331065761,4.5127807900852055,5.952780106091088,0.3017,87.2781,63.581640915032054,8.525572019262786,8.806631718561542,0.9999,0.15,0.785,0.066,1481,,382,628,274,214,663,1391,39,414,169,988,2,,214,39,596,17,1,628,370,6,6,63,810,349,3,229,9,0,273,109,244,3,6,34,135,1,168,378,88,155,93,43,41,30,2,21,,0.073973664,0.12161115414407436,0.053059644,0.041440744,0.12838884585592564,0.26936483346243223,0.007552285,0.080170411,0.032726569,0.19132455460883036,0.000387297,,0.041440744,0.007552285,0.11541440743609604,0.003292022,0.000193648,0.12161115414407436,0.071649884,0.00116189,0.00116189,0.012199845081332301,0.156855151,0.067583269,0.000580945,0.044345469,0.001742835,0,0.052865995,0.021107668474051124,0.047250193648334625,0.000580945,0.00116189,0.006584043,0.026142525,0.000193648,0.032532920216886134,0.07319907,0.017041053446940357,0.030015491866769946,0.018009295,0.008326878,0.007939582,0.00580945,0.000387297,0.004066615,[],,
Dickens,PickwickPapers,8,"CHAPTER VIII. STRONGLY ILLUSTRATIVE OF THE POSITION, THAT THE COURSE OF",213,5962,4491,27.990610328638496,674.5445128,674.5445128,4.455355154753953,5.842306548325132,0.2982,86.0704,67.19343912,7.2150903965785425,8.605554129645412,0.9998,0.129,0.793,0.078,1292,,354,495,273,161,553,1173,25,459,103,894,1,,161,25,501,19,1,495,336,7,11,57,769,269,0,135,4,0,286,142,241,13,8,6,97,0,132,358,96,121,90,40,29,30,1,11,,0.078824315,0.11022044088176353,0.060788243,0.035849477,0.1231351592073035,0.26118904475617905,0.005566689,0.10220440881763528,0.022934758,0.19906479625918505,0.000222668,,0.035849477,0.005566689,0.11155644622578491,0.004230684,0.000222668,0.11022044088176353,0.074816299,0.001558673,0.002449343,0.012692050768203072,0.17123135159207303,0.059897573,0,0.03006012,0.00089067,0,0.063682921,0.031618793141839234,0.053662881,0.002894678,0.00178134,0.001336005,0.021598753061678914,0,0.029392117568470273,0.079714986,0.021376086,0.026942774437764418,0.02004008,0.008906702,0.006457359,0.006680027,0.000222668,0.002449343,[],,
Dickens,PickwickPapers,9,CHAPTER IX. A DISCOVERY AND A CHASE,155,4267,3186,27.529032258064515,456.6362539021852,456.6362539021852,4.336785938480854,5.177535683618972,0.3161,97.7203,72.71350706524075,6.497571189279736,8.400473348550914,-0.9407,0.078,0.84,0.082,963,,214,397,219,127,410,820,23,279,72,622,3,,127,23,373,7,2,397,205,6,3,20,515,178,0,127,7,0,182,86,198,5,2,30,42,1,90,282,61,93,55,21,23,10,1,14,,0.067168864,0.12460765850596359,0.06873823,0.039861895794099184,0.12868801004394226,0.2573760200878845,0.007219083,0.087570621,0.022598870056497175,0.19522912743251727,0.00094162,,0.039861895794099184,0.007219083,0.11707470182046453,0.002197112,0.000627746,0.12460765850596359,0.064344005,0.001883239,0.00094162,0.006277464,0.16164469554300062,0.055869429,0,0.039861895794099184,0.002197112,0,0.057124922,0.026993095,0.062146892655367235,0.001569366,0.000627746,0.009416196,0.013182674199623353,0.000313873,0.028248588,0.088512241,0.019146264908976772,0.029190207,0.017263026,0.006591337,0.007219083,0.003138732,0.000313873,0.004394225,[],,
Dickens,PickwickPapers,10,CHAPTER X. CLEARING UP ALL DOUBTS (IF ANY EXISTED) OF THE,215,7161,5218,33.306976744186045,695.5057652785289,695.5057652785289,4.169221924108854,5.159367006709829,0.2708,77.6835,71.65443533425102,6.9696624288592695,8.621014762533253,0.9997,0.104,0.829,0.067,1370,,418,590,259,178,644,1453,59,529,114,971,3,,178,59,597,17,1,590,397,17,4,47,881,376,8,188,7,0,340,152,233,5,1,25,89,2,153,334,69,107,156,105,23,35,2,20,,0.080107321,0.11307014181678804,0.049635876,0.034112687,0.12341893445764661,0.27845917976236106,0.011307014181678805,0.10137983901878114,0.021847451,0.18608662322729014,0.000574933,,0.034112687,0.011307014181678805,0.11441165197393638,0.003257953,0.000191644,0.11307014181678804,0.07608279,0.003257953,0.000766577,0.009007282,0.16883863549252587,0.07205826,0.001533154,0.036029129934840934,0.00134151,0,0.065159065,0.029129934840935224,0.044653123802223076,0.000958222,0.000191644,0.004791108,0.017056343,0.000383289,0.029321579,0.064009199,0.013223457263319279,0.020505940973553086,0.029896512073591414,0.020122652,0.004407819,0.006707551,0.000383289,0.003832886,[],,
